UF	AGE	POP_80	DEATH_80	POP_91	DEATH_91	POP_00	DEATH_00	POP_10	DEATH_10	
367	29	60	87916	1100	117424	1625	152918	2218	206217	3044
394	29	65	82240	1487	98175	1966	115128	2451	157729	3214
421	29	70	54884	1696	71031	2222	90818	2738	118548	3714
448	29	75	31509	1453	50627	2362	61564	2864	77380	3650
475	29	80	20335	1712	44458	4043	71115	5904	95035	8737
17	31	0	195657	11302	168941	5316	160043	3471	126402	1825
44	31	1	711480	1943	699637	786	660583	499	523258	322
71	31	5	835655	609	916052	396	852992	300	726034	205
98	31	10	830173	572	921868	486	903998	339	858109	339
125	31	15	795709	1047	799816	945	944875	1020	868022	1264
152	31	20	661678	1443	729225	1416	850462	1572	874104	1952
179	31	25	512037	1570	671333	1645	706822	1610	851586	1952
206	31	30	406797	1631	599064	2050	677121	1839	790229	2124
233	31	35	343706	1863	504915	2228	654619	2360	694342	2341
260	31	40	319025	2195	413854	2416	575901	2836	671738	3075
287	31	45	264051	2572	326592	2610	468323	3147	628195	3869
314	31	50	225426	2954	277298	3223	373190	3427	548830	4740
341	31	55	175148	3042	230598	3627	288770	3672	441415	5263
368	31	60	135000	3472	191486	4055	242750	4553	339165	5464
395	31	65	114372	4055	144460	4587	189937	5068	251626	5875
422	31	70	70156	4225	95153	4533	136101	5474	191852	6773
449	31	75	41758	3688	63806	4394	85183	5009	129276	6855
476	31	80	26945	4043	49286	6274	79917	8423	127694	13727
18	32	0	31262	1450	28404	944	28488	609	25011	358
45	32	1	112725	389	119589	144	116516	100	99122	74
72	32	5	126989	116	157614	85	146662	70	135019	51
99	32	10	125264	101	155068	110	160167	85	153469	72
126	32	15	122565	147	131694	214	166972	368	151475	454
153	32	20	105700	237	122440	363	151782	499	162608	600
180	32	25	83082	267	114915	397	125382	477	160892	568
207	32	30	60569	234	103457	380	120190	472	147792	496
234	32	35	49185	235	87862	415	115241	502	126533	481
261	32	40	45459	283	66736	377	101587	650	120050	614
288	32	45	38851	343	50047	393	82511	638	110741	716
315	32	50	33624	368	41336	531	59948	595	96536	830
342	32	55	24672	388	35264	537	44621	707	77443	919
369	32	60	19277	413	30187	630	37153	791	54566	909
396	32	65	16549	530	21625	703	29979	927	38996	965
423	32	70	11302	639	13763	675	22223	952	29532	1115
450	32	75	7089	568	9564	658	13101	853	20604	1183
477	32	80	4303	624	7992	1097	12283	1482	20829	2296
19	33	0	135961	8307	114564	3653	122345	2810	99210	1616
46	33	1	495568	1382	470564	585	498975	384	401592	314
73	33	5	580466	460	617982	313	606627	208	555463	178
100	33	10	569805	446	637208	434	608822	286	662506	265
127	33	15	597436	1250	574492	1792	656590	1725	638420	1330
154	33	20	574956	1887	561926	2537	641580	2534	646569	1899
181	33	25	492473	1872	558371	2636	566594	2191	665139	1955
208	33	30	405546	1616	521480	2866	538788	2079	637186	1857
235	33	35	325978	1839	457455	2943	537330	2634	566803	1886
262	33	40	308557	2299	388720	2998	488168	3165	542851	2453
289	33	45	264134	2844	296046	3212	411311	3760	515808	3338
316	33	50	237118	3432	260671	3821	337488	4064	461682	4777
343	33	55	177963	3744	217317	4552	246857	4401	374767	5708
370	33	60	129883	3917	188443	5535	210146	5344	290089	6070
397	33	65	96792	4152	133897	5535	166850	6101	206333	6477
