cod	sex	age	pop1	year1	pop2	year2	death
2202	f	55	9490	1980	15257	1991	51.90
2202	f	60	8094	1980	12451	1991	65.88
2202	f	65	7509	1980	9799	1991	87.50
2202	f	70	4660	1980	6616	1991	101.51
2202	f	75	3269	1980	5303	1991	132.13
2202	f	80	2017	1980	4690	1991	240.52
2203	f	0	6780	1980	5490	1991	27.95
2203	f	1	26199	1980	23882	1991	7.61
2203	f	5	29700	1980	32974	1991	2.75
2203	f	10	27751	1980	31832	1991	2.15
2203	f	15	22315	1980	25241	1991	3.22
2203	f	20	15311	1980	17310	1991	2.84
2203	f	25	11687	1980	14940	1991	4.55
2203	f	30	9972	1980	12326	1991	3.89
2203	f	35	8493	1980	10919	1991	4.95
2203	f	40	7650	1980	9408	1991	5.52
2203	f	45	5961	1980	8041	1991	7.59
2203	f	50	5406	1980	6765	1991	7.65
2203	f	55	4033	1980	5707	1991	8.45
2203	f	60	3696	1980	4583	1991	11.19
2203	f	65	3375	1980	3776	1991	14.36
2203	f	70	2275	1980	2798	1991	18.34
2203	f	75	1251	1980	2171	1991	22.83
2203	f	80	583	1980	1782	1991	39.91
2204	f	0	7033	1980	5401	1991	30.57
2204	f	1	25140	1980	23745	1991	7.99
2204	f	5	29439	1980	30705	1991	3.07
2204	f	10	28639	1980	29978	1991	2.51
2204	f	15	23356	1980	26782	1991	4.01
2204	f	20	16126	1980	20346	1991	3.83
2204	f	25	12404	1980	17125	1991	6.11
2204	f	30	11059	1980	13747	1991	5.33
2204	f	35	9573	1980	11369	1991	6.45
2204	f	40	8186	1980	10521	1991	7.45
2204	f	45	6195	1980	9063	1991	10.93
2204	f	50	5673	1980	7239	1991	10.47
2204	f	55	4428	1980	5874	1991	11.34
2204	f	60	3595	1980	4908	1991	15.33
2204	f	65	3424	1980	4143	1991	19.72
2204	f	70	2220	1980	2988	1991	24.55
2204	f	75	1392	1980	2148	1991	30.26
2204	f	80	785	1980	1812	1991	56.81
2301	f	0	15740	1980	13980	1991	154.54
2301	f	1	57211	1980	60294	1991	30.09
2301	f	5	66257	1980	72960	1991	9.81
2301	f	10	64207	1980	68242	1991	7.42
2301	f	15	53825	1980	55157	1991	8.01
2301	f	20	35294	1980	41332	1991	9.32
2301	f	25	27314	1980	35952	1991	10.20
2301	f	30	24807	1980	28134	1991	11.05
2301	f	35	21251	1980	25194	1991	14.08
2301	f	40	19858	1980	23806	1991	16.22
2301	f	45	15834	1980	19669	1991	20.26
2301	f	50	14089	1980	17718	1991	27.66
2301	f	55	10956	1980	14990	1991	29.60
2301	f	60	8740	1980	12663	1991	39.26
2301	f	65	8006	1980	11106	1991	51.27
2301	f	70	5990	1980	7414	1991	54.20
2301	f	75	4235	1980	6097	1991	79.93
2301	f	80	3656	1980	5985	1991	194.90
2302	f	0	11302	1980	9357	1991	177.67
2302	f	1	42481	1980	42094	1991	35.28
2302	f	5	49638	1980	52795	1991	10.37
2302	f	10	47237	1980	48579	1991	7.68
2302	f	15	37667	1980	38763	1991	8.54
2302	f	20	24623	1980	29683	1991	9.31
2302	f	25	19803	1980	26082	1991	10.60
2302	f	30	17182	1980	20106	1991	11.46
2302	f	35	15030	1980	17717	1991	13.92
2302	f	40	14463	1980	16436	1991	16.42
2302	f	45	11682	1980	13406	1991	19.53
2302	f	50	11067	1980	12593	1991	27.26
2302	f	55	8214	1980	10990	1991	30.11
2302	f	60	5826	1980	9623	1991	39.04
